Filename,Touches
rootbeerlib/jni/toolChecker.cpp,9
art/ss_got_root_fail.png,1
art/ss_no_root_pass.png,2
art/RootBeer-feature-graphic.png,2
art/ss-got-root-fail.png,2
art/ss_home_b4_test.png,1
art/ss_info.png,2
app/src/main/res/values/colors.xml,3
.idea/.name,2
.idea/compiler.xml,2
.idea/copyright/profiles_settings.xml,2
.idea/gradle.xml,4
.idea/misc.xml,5
.idea/modules.xml,3
.idea/runConfigurations.xml,3
.idea/vcs.xml,2
app/src/main/assets/SubwayNovella.ttf,1
app/src/main/res/drawable-hdpi/ic_action_github.png,2
app/src/main/res/drawable-hdpi/ic_info_outline_white_18dp.png,1
app/src/main/res/drawable-hdpi/ic_info_outline_white_24dp.png,1
app/src/main/res/drawable-hdpi/ic_info_outline_white_36dp.png,1
app/src/main/res/drawable-hdpi/ic_lock_open_white_24dp.png,1
app/src/main/res/drawable-mdpi/ic_info_outline_white_18dp.png,1
app/src/main/res/drawable-mdpi/ic_info_outline_white_24dp.png,1
app/src/main/res/drawable-mdpi/ic_info_outline_white_36dp.png,1
app/src/main/res/drawable-mdpi/ic_lock_open_white_24dp.png,1
app/src/main/res/drawable-xhdpi/ic_action_github.png,2
app/src/main/res/drawable-xhdpi/ic_cross_red_24dp.png,1
app/src/main/res/drawable-xhdpi/ic_info_outline_white_18dp.png,1
app/src/main/res/drawable-xhdpi/ic_info_outline_white_24dp.png,1
app/src/main/res/drawable-xhdpi/ic_info_outline_white_36dp.png,1
app/src/main/res/drawable-xhdpi/ic_lock_open_white_24dp.png,1
app/src/main/res/drawable-xhdpi/ic_tick_green_24dp.png,1
app/src/main/res/drawable-xxhdpi/ic_action_github.png,2
app/src/main/res/drawable-xxhdpi/ic_info_outline_white_18dp.png,1
app/src/main/res/drawable-xxhdpi/ic_info_outline_white_24dp.png,1
app/src/main/res/drawable-xxhdpi/ic_info_outline_white_36dp.png,1
app/src/main/res/drawable-xxhdpi/ic_lock_open_white_24dp.png,1
app/src/main/res/drawable-xxxhdpi/ic_info_outline_white_18dp.png,1
app/src/main/res/drawable-xxxhdpi/ic_info_outline_white_24dp.png,1
app/src/main/res/drawable-xxxhdpi/ic_info_outline_white_36dp.png,1
app/src/main/res/drawable-xxxhdpi/ic_lock_open_white_24dp.png,1
app/src/main/res/drawable/pint_glass.png,1
app/src/main/res/menu/menu_main.xml,3
app/src/main/res/mipmap-hdpi/ic_launcher.png,3
app/src/main/res/mipmap-mdpi/ic_launcher.png,3
app/src/main/res/mipmap-xhdpi/ic_launcher.png,3
app/src/main/res/mipmap-xxhdpi/ic_launcher.png,3
app/src/main/res/mipmap-xxxhdpi/ic_launcher.png,2
app/src/main/res/values-w820dp/dimens.xml,2
app/src/main/res/values/dimens.xml,2
RootChecker.iml,5
rootbeerlib/src/main/AndroidManifest.xml,3
art/rootbeer-icon-playstore.png,1
art/rootbeerjesus.png,1
rootbeerlib/jni/toolChecker.h,6
rootbeerlib/jni/Application.mk,2
art/root_beer_icon.svg,2
rootbeerlib/src/main/jniLibs/armeabi-v7a/libroot-checker.so,2
rootbeerlib/jni/Android.mk,1
settings.gradle,2
app/src/main/java/com/scottyab/rootchecker/RootCheck.java,6
app/src/main/java/com/scottyab/rootchecker/Const.java,1
app/src/main/java/com/scottyab/rootchecker/MainActivity.java,4
app/jni/Android.mk,3
app/jni/build.sh,3
app/jni/toolChecker.cpp,2
app/jni/toolChecker.h,2
app/src/main/java/com/scottyab/rootchecker/RootCheckNative.java,3
app/src/main/jniLibs/armeabi-v7a/libroot-checker.so,2
app/src/main/jniLibs/armeabi-v7a/libtool-checker.so,2
app/jni/rootChecker.cpp,1
app/jni/rootChecker.h,1
app/src/androidTest/java/com/scottyab/rootchecker/ApplicationTest.java,1
app/src/main/java/com/scottyab/rootchecker/util/QLog.java,1
